Competency Code,ID,Name,Type,Family,Definition,Division,IsActive
"TECH-LEGA-004","cmhrr6i8i00w5atz02f79j26e","Internal and External Stakeholder Management","TECHNICAL","Legal & Regulatory","The understanding of various internal (such as  PACA, Oman air, ISS, ROP (Security), Ground-handler, all OA departments, and concession providers)  and external (such as MOF, MOTC, MOLA, MOCI, SAI, ROP and Muscat Municipality) stakeholders, their needs, priorities and agenda. It includes actively engaging and partnering with them to achieve a common objective.","Corporate Support","true"
"TECH-LEGA-005","cmhrr6ibo01bratz04aa0d592","Legal Advisory","TECHNICAL","Legal & Regulatory","It is the skill of conducting research, understand, interpret and apply relevant laws and regulations (such as tendering law, commercial companies law, civil law, criminal law, contract law etc.) and provide legal opinions in the interest of OA. It is also an ability to safeguard the OA's legal interest in all related activities.","Corporate Support","true"
"TECH-LEGA-006","cmhrr6ib0018batz0c6thqrjb","Legal Drafting and Review","TECHNICAL","Legal & Regulatory","The ability to draft legal documents such as contracts, agreements, polices, memos, submissions etc. that are in line with local and international laws and regulations and in a manner that protects OA's legal interests. The ability to review legal documents to ensure that the language and the legal risks are in compliance with the local and international legal and regulatory framework. It also includes managing the contracts/ agreements / MoUs and address any clarifications during the contract execution period.","Corporate Support","true"
"TECH-LEGA-007","cmhrr6iap016satz0gwkzqggy","Legal Process Design","TECHNICAL","Legal & Regulatory","The ability to design the internal legal processes and SOPs covering legal risk management, templates for legal documents, document review, contract management, documentation and archiving. It includes an ability to incorporate industry leading practices and design effective legal processes at OA.","Corporate Support","true"
"TECH-LEGA-008","cmhrr6i8s00xiatz0w22a4suk","Legal Risk Management","TECHNICAL","Legal & Regulatory","It is the understand of legal risks including identifying, analyzing, assessing, prioritizing, and mitigating the and developing a legal risk treatment strategy. It includes creating an awareness amongst the internal stakeholders on the legal risks and a culture of identifying and mitigating legal risks.","Corporate Support","true"
"TECH-LEGA-009","cmhrr6ia2013matz06mhp1d97","Legal and Regulatory Framework Understanding","TECHNICAL","Legal & Regulatory","It is the knowledge and understanding of the local and international legal and regulatory framework governing the operations of OA including applicable aviation related laws and regulations such as PACA, ICAO, IATA, and ACI etc..","Corporate Support","true"
"TECH-LEGA-010","cmhrr6ibb019yatz0o0tg2lwx","Litigation","TECHNICAL","Legal & Regulatory","The ability to conduct legal action (such as lawsuit, legal dispute, legal case etc.), understand the litigation process and methods leading to the resolution of the legal action in line with the local/international legal action process.  Add intent related behaviors at level  3 and 4","Corporate Support","true"
"TECH-LEGA-011","cmhrr6i9k011catz0zanh9gqz","Translation","TECHNICAL","Legal & Regulatory","The skill of translating legal documents from the English Language to the Arabic Language and vis versa, while maintaining the legal integrity of the document. It includes the skill of proof reading legal documents and generating error free documents.","Corporate Support","true"
"TECH-MAIN-001","cmhrr6inj0353atz06u1k3zi1","FM  Planning","TECHNICAL","Maintenance","It is the ability to plan, inspect and carry out maintenance of the airport facilities, waste management, pest control, landscaping, facad and roof top cleaning in line with international standards. It includes managing the facilities in a sustainable manner.","Technical Services","true"
"TECH-MAIN-002","cmhrr6inc0344atz03cqmdwk8","Quality Management","TECHNICAL","Maintenance","Knowledge of the principles, methods, and tools of quality assurance and quality inspection used to ensure the performed maintenance meets the quality standards required.","Technical Services","true"
"TECH-MEDI-001","cmhrr6ipn03h2atz0i1yequvm","Aviation Sector Understanding","TECHNICAL","Media","It is the knowledge and understanding of the aviation sector business operations, the driving forces, market dynamics including the regulatory requirements. Understanding of other competitive markets in GCC / other countries and best practices. It also includes an overview of the business operations, key cost components, revenue and profitability drivers and key performance metrics.","Corporate Support","true"
